date,visibility_mean,snow_mean,wind_speed_min,wind_speed_mean,wind_speed_max,wind_deg_min,wind_deg_mean,wind_deg_max,main_temp_min,main_temp_mean,main_temp_max,feels_like_min,feels_like_mean,feels_like_max,pressure_min,pressure_mean,pressure_max,humidity_min,humidity_mean,humidity_max,dew_point_min,dew_point_mean,dew_point_max
2022-11-01,9985.666666666666,0.0,0.0,4.679166666666666,8.99,0,128.45833333333334,360,55.42,64.87958333333333,73.27,57.92,64.91125,70.63,1014,1018.4583333333334,1022,57,81.75,96,54.59,58.84,66.65
2022-11-02,9526.0,0.0,0.0,3.8195833333333336,7.0,0,95.70833333333333,221,58.28,65.53208333333333,79.2,59.85,65.77875,77.86,1018,1021.1666666666666,1024,67,84.95833333333333,94,57.25,60.62875,65.48
2022-11-03,9391.875,0.0,3.44,10.071666666666667,19.57,0,156.25,190,68.58,73.85541666666667,84.9,70.74,75.19291666666668,86.25,1012,1016.625,1019,60,82.79166666666667,94,64.99,68.00625000000001,70.21
2022-11-04,9755.833333333334,0.0,8.05,15.3175,21.85,144,168.08333333333334,190,71.67,76.80624999999999,84.65,74.26,79.09166666666667,91.17,1003,1009.5833333333334,1013,65,83.45833333333333,93,67.62,71.25166666666667,74.48
2022-11-05,9851.541666666666,0.0,0.0,5.559166666666667,12.66,0,171.29166666666666,357,50.02,63.57083333333333,80.94,50.11,62.36041666666667,79.52,1007,1011.2083333333334,1015,39,58.125,92,37.54,48.07083333333333,69.51
2022-11-06,10000.0,0.0,0.0,6.849583333333334,19.57,0,164.25,230,48.22,66.27416666666666,85.19,54.93,66.8525,87.78,1009,1010.9583333333334,1013,55,76.20833333333333,91,50.05,58.298750000000005,71.51
2022-11-07,9808.541666666666,0.0,0.0,5.571666666666666,11.5,0,119.08333333333333,200,69.03,75.78125,85.26,72.12,77.41291666666667,88.02,1011,1016.9583333333334,1021,70,87.08333333333333,96,67.73,71.54375,74.91
2022-11-08,9583.333333333334,0.0,0.0,4.80375,10.0,0,92.91666666666667,180,62.58,72.67708333333333,81.19,64.67,73.53041666666667,79.68,1018,1021.2083333333334,1024,71,83.58333333333333,93,61.32,67.3175,70.77
2022-11-09,10000.0,0.0,3.44,7.270416666666667,16.11,0,112.875,180,66.45,73.09708333333333,82.74,69.55,74.22958333333334,84.02,1016,1019.7916666666666,1022,66,85.91666666666667,94,65.68,68.42666666666666,70.25
2022-11-10,9822.916666666666,0.0,3.44,7.111250000000001,12.66,0,123.75,200,66.22,73.03291666666667,82.74,68.16,74.04125,83.17,1008,1013.0833333333334,1016,63,82.08333333333333,93,65.16,66.93625,69.82
2022-11-11,10000.0,0.0,1.99,9.574583333333333,23.02,95,213.91666666666666,350,45.39,67.10291666666667,79.2,39.69,67.25958333333334,78.82,1007,1009.3333333333334,1014,68,86.125,92,44.96,62.669999999999995,68.72
2022-11-12,10000.0,0.0,11.5,16.305833333333336,21.85,10,268.1666666666667,360,38.28,46.42666666666667,59.31,30.69,40.10875,54.5,1015,1021.7083333333334,1026,38,64.16666666666667,91,30.22,34.19166666666667,43.83
2022-11-13,6250.0,0.0,4.0,7.507083333333334,10.36,6,58.916666666666664,350,32.02,46.20041666666666,60.21,31.17,42.22833333333333,55.8,1018,1023.4583333333334,1027,31,55.583333333333336,77,26.28,30.074583333333333,33.17
2022-11-14,9070.958333333334,0.0,5.01,7.158333333333334,10.36,0,139.83333333333334,360,45.32,50.379999999999995,56.19,44.91,47.84166666666667,51.93,1012,1014.9166666666666,1018,38,70.16666666666667,92,30.02,40.33208333333334,50.4
2022-11-15,10000.0,0.0,9.22,12.4825,17.27,10,236.83333333333334,360,37.38,45.77875,53.31,31.21,40.83583333333333,50.83,1013,1022.6666666666666,1028,64,79.875,92,33.87,39.767916666666665,49.39
2022-11-16,10000.0,0.0,7.0,10.85,18.01,10,34.833333333333336,58,39.58,46.3025,57.54,35.33,41.64041666666667,53.35,1026,1029.0833333333333,1032,44,70.25,85,32.83,36.42583333333334,38.35
2022-11-17,10000.0,0.0,1.01,4.482916666666667,10.36,0,189.58333333333334,350,39.22,48.662083333333335,59.45,40.84,46.432916666666664,55.9,1026,1029.2916666666667,1032,42,64.95833333333333,83,32.97,36.602916666666665,39.61
2022-11-18,10000.0,0.0,0.0,3.9316666666666666,8.05,0,84.41666666666667,180,47.57,52.375416666666666,56.86,48.13,50.374583333333334,53.2,1023,1025.7083333333333,1027,48,59.666666666666664,76,35.13,38.48,42.13
2022-11-19,9918.625,0.0,1.99,12.100833333333334,19.57,0,86.83333333333333,360,36.28,43.762499999999996,54.86,29.05,37.711666666666666,50.2,1025,1027.0,1030,64,81.08333333333333,91,33.89,38.22708333333333,43.09
2022-11-20,10000.0,0.0,4.61,8.93375,17.27,18,243.08333333333334,360,37.38,41.66625,48.27,29.86,36.312916666666666,42.51,1028,1029.875,1032,53,74.58333333333333,89,30.29,33.8375,36.54
2022-11-21,9755.833333333334,0.0,1.99,5.083333333333333,9.22,10,187.5,360,39.38,42.78041666666667,46.74,37.09,39.93541666666667,43.95,1027,1027.9166666666667,1029,72,85.125,91,34.84,38.599583333333335,43.07
2022-11-22,7993.625,0.0,1.99,5.2491666666666665,8.01,0,94.66666666666667,360,43.29,47.59708333333333,55.87,40.66,45.255833333333335,53.94,1022,1026.0833333333333,1028,85,91.79166666666667,95,42.53,45.30875,51.17
2022-11-23,9889.958333333334,0.0,0.0,3.501666666666667,8.01,0,95.70833333333333,330,50.58,55.565,64.87,51.39,54.79624999999999,62.01,1013,1019.6666666666666,1023,67,84.58333333333333,93,49.23,50.788333333333334,53.85
2022-11-24,5677.833333333333,0.0,1.01,6.020416666666667,16.11,0,120.75,360,59.58,62.85541666666666,67.64,61.43,63.09166666666667,66.61,1010,1012.0,1014,78,90.45833333333333,97,55.29,59.98541666666667,63.34
2022-11-25,9851.541666666666,0.0,5.75,12.827916666666667,20.71,10,99.29166666666667,360,54.39,58.462916666666665,62.94,55.27,58.33833333333333,61.83,1013,1016.9166666666666,1019,91,92.125,94,53.64,56.1875,59.56
2022-11-26,8419.791666666666,0.0,4.61,11.187916666666666,18.41,10,207.45833333333334,320,47.39,54.32916666666667,61.65,42.6,52.595416666666665,57.83,1009,1013.5416666666666,1017,53,83.875,96,42.44,49.02,55.74
2022-11-27,10000.0,0.0,0.0,5.137083333333334,12.66,0,220.04166666666666,350,42.82,56.14333333333334,73.27,46.49,54.846666666666664,70.27,1008,1010.4166666666666,1013,40,68.58333333333333,87,42.73,44.944583333333334,48.04
2022-11-28,10000.0,0.0,0.0,4.935833333333334,12.66,0,171.91666666666666,346,37.42,57.52916666666667,75.67,45.34,56.65208333333334,74.53,1008,1012.5416666666666,1015,44,73.29166666666667,90,43.39,48.276250000000005,53.58
2022-11-29,9688.75,0.0,5.75,11.412916666666668,20.71,140,189.58333333333334,240,62.02,71.58416666666666,84.27,64.74,72.31916666666667,84.81,1004,1007.0416666666666,1010,54,78.66666666666667,94,53.78,64.08166666666666,69.12
2022-11-30,10000.0,0.0,3.0,15.83,24.16,10,158.625,360,39.38,54.62375,75.87,32.04,50.75125,74.71,1007,1020.0833333333334,1028,35,60.166666666666664,86,28.36,40.51125,63.52
